name,newname
pepiniere_,nursery_
transplantation_,transplanting_
premiererecolte,firstharvest
performanceagronomique2,secondharvest
deuxiemerecolte,secondharvest
performanceagronomique3,thirdharvest
troisiemerecolte,thirdharvest
quatriemerecolte,fourthharvest
floraison,reproductive
socio_economic,socioeconomic
overallchar2,overall
performanceagronomique1,firstharvest
fr,
gender1,gender
socioeconomic_,registration_
overallchar,cropstageperformance
overall,overallperformance
fourthharvest_cropstageperformance,fourthharvest_overallperformance
_qst_,