covar,BJ,ML,TZ,sel
registration_surveyid,794,969,300,
registration_submitted_by,252,294,0,
registration_xform_id_string,252,294,0,
registration_submitted_date,252,294,0,
registration_precision,794,969,300,
registration_active,794,969,300,
registration_survey_deviceimei,794,969,300,
registration_survey_start,794,969,300,
registration_participant_name,794,969,300,
registration_clc_before,252,294,0,
registration_clc_after,252,294,0,
registration_district,794,969,300,
registration_village,794,969,300,
registration_telephone,649,826,300,
registration_gender,794,969,300,x
registration_survey_end,794,969,300,
registration_instancename,252,294,0,
registration_age,659,674,300,x
registration_educationyears,659,674,300,
registration_occupation,659,674,300,x
registration_occupation_oth,33,58,2,
registration_reading,659,674,300,x
registration_reading2,659,674,300,
registration_typeofhh,658,674,300,x
registration_hhsize,658,674,300,
registration_landown,657,674,300,
registration_landrights,657,674,300,x
registration_landrights_oth,346,69,55,
registration_landavailable,657,674,300,
registration_landirrigation,657,674,300,x
registration_irrigationtype,558,667,286,
registration_irrigationtype_oth,137,150,12,
registration_irrigationshare,657,674,300,
registration_mainvegetable,657,674,300,
registration_mainvegetable_oth,55,61,0,
registration_vegetablecrops,657,674,300,
registration_vegetablecrops_oth,204,62,0,
registration_tricotcropveg,657,674,300,
registration_experiencecrop,657,674,300,x
registration_tricotcroprod12m,657,674,300,
registration_noprodwhy,73,260,0,
registration_whocontrolprod,628,668,300,x
registration_whocontrolprod_oth,22,58,5,
registration_prodeq,657,674,300,
registration_landarea,657,674,0,
registration_prodpract,657,674,300,
registration_prodpract_oth,26,56,32,
registration_sellshare,657,674,300,
registration_incomecropshare,657,674,300,x
registration_whocontrolsell,642,666,300,x
registration_whocontrolsell_oth,23,63,10,
registration_sellwhere,657,674,300,
registration_sellwhere_oth,10,93,31,
registration_sellwheremain,657,674,0,
registration_sellwheremain_oth,9,70,0,
registration_marketdistance,657,674,300,x
registration_varietyhowmany,657,674,300,
registration_varietyname,657,673,300,
registration_varietysource,657,674,300,
registration_varietysource_oth,19,56,34,
registration_whocontrolexchange,491,571,300,x
registration_whocontrolexchange_oth,17,58,8,
registration_varietycommercial,657,674,0,
registration_varietybrand,141,90,300,
registration_extensionservice,657,674,300,x
registration_extensionserviceprivate,657,674,300,
registration_membership,657,674,0,
registration_membershipwhere,627,611,300,
registration_membershipwhere_oth,86,57,10,
registration_hhassets,657,674,300,
registration_civilstatus,0,0,300,
registration_civilstatus_oth,0,0,1,
registration_education,0,0,300,
registration_education_oth,0,0,7,
registration_hhassets_oth,0,0,6,
registration_maincrop,0,0,300,
registration_othercrops,0,0,300,
registration_tricotexperience,0,0,300,
registrationreasonnoproduction,0,0,300,
registrationreasonnoproduction_oth,0,0,68,
registrationexpertricotcropproduction,0,0,208,
registrationyearsofexperience,0,0,300,
registrationlandacregage,0,0,300,